"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-07-07","99.3","-1.2","5.52","deGrom, Jacob",553882,594798,,"foul",,,,,"1","Omar Narvaez strikes out swinging.","R","L","R","NYM","MIL","S",,,"2","2",2021,"-0.67","1.12","-0.77","3.39",,,,"1","7","Top",,,,,"621512",,,2.770421848805275,-144.64167473796238,-3.0772699731675277,-10.034362417865545,34.291453958064544,-15.95707893817557,"3.32","1.51","231","77.5","47","100.1","2222","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.76",,,,,,,,"48","5","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","216","0","0"
"SL","2021-07-07","92.0","-1.1","5.52","deGrom, Jacob",553882,594798,,"swinging_strike",,,,,"14","Omar Narvaez strikes out swinging.","R","L","R","NYM","MIL","S",,,"2","1",2021,"0.31","0.37","1.05","1.76",,,,"1","7","Top",,,,,"621512",,,4.82529261051162,-133.98157309026988,-4.5792987431052214,2.821462031775487,27.361552962026504,-26.96905069175704,"3.32","1.51",,,,"93","2423","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.78",,,,,,,,"48","4","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","189","0","-0.053"
"FF","2021-07-07","98.2","-1.16","5.47","deGrom, Jacob",553882,594798,,"called_strike",,,,,"3","Omar Narvaez strikes out swinging.","R","L","R","NYM","MIL","S",,,"2","0",2021,"-0.83","1.06","0.64","2.93",,,,"1","7","Top",,,,,"621512",,,6.890834328170534,-142.82741794778684,-3.865253757947293,-12.995372253209641,33.97268892301598,-17.001858308401218,"3.2","1.43",,,,"99.1","2222","6.9",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.61",,,,,,,,"48","3","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","216","0","-0.044"
"SL","2021-07-07","90.2","-1.26","5.55","deGrom, Jacob",553882,594798,,"ball",,,,,"14","Omar Narvaez strikes out swinging.","R","L","R","NYM","MIL","B",,,"1","0",2021,"0.24","0.43","1.53","1.03",,,,"1","7","Top",,,,,"621512",,,6.485965701721701,-131.21172730483534,-6.243126224580622,1.4531423700072768,27.14239639483936,-26.108869764004233,"3.32","1.51",,,,"91","2336","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.79",,,,,,,,"48","2","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","204","0","0.05"
"CH","2021-07-07","92.1","-1.41","5.47","deGrom, Jacob",553882,594798,,"ball",,,,,"13","Omar Narvaez strikes out swinging.","R","L","R","NYM","MIL","B",,,"0","0",2021,"-0.93","1.26","-1.62","1.28",,,,"1","7","Top",,,,,"621512",,,1.4893496257379013,-133.90136173485104,-7.524598773499705,-11.414849937004307,31.120528182867854,-15.576988895491661,"3.21","1.51",,,,"92.4","2074","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.78",,,,,,,,"48","1","Changeup","1","2","2","1","2","1","2","1","Infield shift","Standard","219","0","0.026"
"CH","2021-07-07","92.2","-1.27","5.5","deGrom, Jacob",642715,594798,"field_out","hit_into_play",,,,,"9","Willy Adames grounds out, third baseman Luis Guillorme to first baseman Dominic Smith.","R","R","R","NYM","MIL","X","5","ground_ball","0","0",2021,"-1.02","1.27","0.51","1.83",,,,"0","7","Top",105.34,161.21,,,"621512",,,6.808126762416541,-134.13610399594629,-6.349407567290604,-13.727122490126868,26.742131658251026,-15.642220013116601,"3.37","1.53","2","85.0","-40","93.2","2280","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.76","0.071","0.064","0","1","0","0","2","47","1","Changeup","1","2","2","1","2","1","2","1","Infield shift","Standard","219","0.016","-0.241"
"FF","2021-07-07","99.2","-0.96","5.39","deGrom, Jacob",592885,594798,"grounded_into_double_play","hit_into_play",,,,,"5","Christian Yelich grounds into a double play, second baseman Jeff McNeil to shortstop Francisco Lindor to first baseman Pete Alonso.   Luis Urias out at 2nd.    Christian Yelich out at 1st.","R","L","R","NYM","MIL","X","4","ground_ball","0","0",2021,"-0.88","1.35","-0.03","2.03",,,"649966","1","6","Top",147.03,149.56,,,"621512",,,4.641206788226047,-144.2510772259853,-6.944043016987232,-13.41721346341922,35.314495067393885,-11.956424543105104,"3.17","1.52","25","112.0","-4","99.9","2426","6.9",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.65","0.463","0.417","0","1","0","0","4","40","1","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","216","0.052","-0.384"
"SL","2021-07-07","95.0","-1.01","5.45","deGrom, Jacob",649966,594798,"single","hit_into_play",,,,,"6","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","X","8","fly_ball","3","2",2021,"0.31","0.6","0.76","2.17",,,,"1","6","Top",109.04,100.46,,,"621512",,,3.971436036431708,-138.38396852640844,-4.3913163601296406,3.2066689776299238,27.14942112540292,-23.728564399493287,"3.17","1.52","251","74.9","25","96.5","2524","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.66","0.789","0.739","0.9","1","1","0","4","39","7","Slider","1","2","2","1","2","1","2","1","Strategic","Standard","186","-0.024","0.213"
"FF","2021-07-07","100.1","-1.02","5.43","deGrom, Jacob",649966,594798,,"foul",,,,,"11","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","S",,,"3","2",2021,"-0.61","1.15","-0.56","3.56",,,,"1","6","Top",,,,,"621512",,,2.7326757982495,-145.87221726054278,-2.559120644755567,-9.342872943522629,32.54277661680705,-15.339919468619806,"3.17","1.52","236","82.0","23","101.4","2273","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.71",,,,,,,,"39","6","4-Seam Fastball","1","2","2","1","2","1","2","1","Standard","Standard","218","0","0"
"FF","2021-07-07","99.0","-0.91","5.42","deGrom, Jacob",649966,594798,,"foul_tip",,,,,"5","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","S",,,"3","1",2021,"-0.71","1.13","0.08","2.37",,,,"1","6","Top",,,,,"621512",,,4.378805900973368,-144.2709987875167,-5.649516972543406,-10.829110394635716,29.04964436594742,-15.323484109775826,"3.17","1.52",,,,"100.6","2251","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.73",,,,,,,,"39","5","4-Seam Fastball","1","2","2","1","2","1","2","1","Standard","Standard","214","0","-0.065"
"SL","2021-07-07","93.2","-1.03","5.47","deGrom, Jacob",649966,594798,,"ball",,,,,"14","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","B",,,"2","1",2021,"0.19","0.46","1.70","1.42",,,,"1","6","Top",,,,,"621512",,,6.629329140552195,-135.58720753008174,-5.777236244705189,1.1583473176461418,25.918242972808397,-25.459001171305726,"3.34","1.62",,,,"94.4","2448","6.7",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.78",,,,,,,,"39","4","Slider","1","2","2","1","2","1","2","1","Standard","Standard","179","0","0.083"
"SL","2021-07-07","92.9","-1.12","5.56","deGrom, Jacob",649966,594798,,"called_strike",,,,,"3","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","S",,,"2","0",2021,"0.31","0.28","0.66","2.98",,,,"1","6","Top",,,,,"621512",,,3.8934954006946363,-135.43204639360732,-1.5217584931950865,3.1046504958268324,26.83741725025759,-28.620934550277898,"3.33","1.53",,,,"94","2506","6.6",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.87",,,,,,,,"39","3","Slider","1","2","2","1","2","1","2","1","Strategic","Standard","161","0","-0.044"
"SL","2021-07-07","94.7","-1.09","5.44","deGrom, Jacob",649966,594798,,"ball",,,,,"14","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","B",,,"1","0",2021,"-0.08","0.34","1.09","0.84",,,,"1","6","Top",,,,,"621512",,,5.9258042532660795,-137.74159066392875,-7.198642598357966,-2.1875609492615173,26.7805946241992,-26.585190207393204,"3.37","1.66",,,,"95.9","2390","6.7",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.79",,,,,,,,"39","2","Slider","1","2","2","1","2","1","2","1","Strategic","Standard","195","0","0.05"
"FF","2021-07-07","99.0","-0.96","5.45","deGrom, Jacob",649966,594798,,"ball",,,,,"12","Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","B",,,"0","0",2021,"-0.66","1.26","1.58","2.96",,,,"1","6","Top",,,,,"621512",,,8.534152335175378,-143.95062959938565,-4.364171940542315,-11.106549001270672,31.505974627941818,-13.811663908371159,"3.36","1.56",,,,"100.1","2244","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.72",,,,,,,,"39","1","4-Seam Fastball","1","2","2","1","2","1","2","1","Strategic","Standard","221","0","0.026"
"SL","2021-07-07","90.4","-1.14","5.6","deGrom, Jacob",669203,594798,"field_out","hit_into_play",,,,,"14","Corbin Burnes grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.","R","R","R","NYM","MIL","X","1","ground_ball","1","2",2021,"0.65","0.06","0.92","2.10",,,,"0","6","Top",125.51,181.32,,,"621512",,,3.8049829052962596,-131.7599256619791,-2.9905221478843043,6.81293620779358,25.9425016144064,-31.09370830473586,"3.49","1.6","2","70.7","-40","91.7","2485","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.71","0.089","0.08","0","1","0","0","2","38","5","Slider","1","2","2","1","2","1","2","1","Standard","Standard","160","0.022","-0.173"
